id,title,year,rating,votes,runtime,genres
169,"Three Billboards Outside Ebbing, Missouri",2017,8.1,584K,1h 55m,Dark Comedy
170,The Bridge on the River Kwai,1957,8.1,242K,2h 41m,Jungle Adventure
171,Catch Me If You Can,2002,8.1,1.2M,2h 21m,Caper
172,Trainspotting,1996,8.1,751K,1h 33m,Dark Comedy
173,Raging Bull,1980,8.1,396K,2h 9m,Boxing
174,The Wild Robot,2024,8.2,175K,1h 42m,Artificial Intelligence
175,Fargo,1996,8.1,758K,1h 38m,Cop Drama
176,Warrior,2011,8.1,515K,2h 20m,Boxing
177,Harry Potter and the Deathly Hallows - Part 2,2011,8.1,1M,2h 10m,Dark Fantasy
178,Gran Torino,2008,8.1,841K,1h 56m,Drama
179,Million Dollar Baby,2004,8.1,747K,2h 12m,Boxing
180,Ben Hur,1959,8.1,264K,3h 32m,Adventure Epic
181,Mad Max: Fury Road,2015,8.1,1.2M,2h,Action Epic
182,My Neighbor Totoro,1988,8.1,409K,1h 26m,Anime
183,Barry Lyndon,1975,8.1,194K,3h 5m,Costume Drama
184,Dead Poets Society,1989,8.1,593K,2h 8m,Coming-of-Age
185,Spider-Man: No Way Home,2021,8.2,955K,2h 28m,Superhero
186,Bacheha-ye aseman,1997,8.2,86K,1h 29m,Drama
187,12 Years a Slave,2013,8.1,766K,2h 14m,Costume Drama
188,Before Sunrise,1995,8.1,360K,1h 41m,Comedy
189,Hacksaw Ridge,2016,8.1,639K,2h 19m,Docudrama
190,The Grand Budapest Hotel,2014,8.1,929K,1h 39m,Quirky Comedy
191,Blade Runner,1982,8.1,855K,1h 57m,Artificial Intelligence
192,Gone Girl,2014,8.1,1.1M,2h 29m,Erotic Thriller
193,Salinui chueok,2003,8.1,243K,2h 11m,Dark Comedy
194,Ratatouille,2007,8.1,888K,1h 51m,Animal Adventure
195,"Monsters, Inc.",2001,8.1,1M,1h 32m,Buddy Comedy
196,In the Name of the Father,1993,8.1,196K,2h 13m,Docudrama
197,How to Train Your Dragon,2010,8.1,846K,1h 38m,Computer Animation
198,Relatos salvajes,2014,8.1,229K,2h 2m,Dark Comedy
199,The Gold Rush,1925,8.1,124K,1h 35m,Farce
200,Sherlock Jr.,1924,8.2,62K,45m,Bumbling Detective
201,De zomer van de witte haai,1975,8.1,696K,2h 4m,Monster Horror
202,Mary and Max,2009,8.1,197K,1h 32m,Adult Animation
203,Le Mans '66,2019,8.1,525K,2h 32m,Car Action
204,The Deer Hunter,1978,8.1,376K,3h 3m,Epic
205,The General,1926,8.1,103K,1h 18m,Farce
206,Het loon van de Angst,1953,8.1,71K,2h 36m,Psychological Drama
207,Mr. Smith gaat naar Washington,1939,8.1,126K,2h 9m,Political Drama
208,On the Waterfront,1954,8.1,173K,1h 48m,Legal Drama
209,Smultronstället,1957,8.1,121K,1h 32m,Psychological Drama
210,Logan,2017,8.1,892K,2h 17m,Dystopian Sci-Fi
211,Rocky,1976,8.1,661K,2h,Boxing
212,The Third Man,1949,8.1,190K,1h 44m,Film Noir
213,Tokyo Story,1953,8.1,74K,2h 17m,Psychological Drama
214,Spotlight,2015,8.1,520K,2h 9m,Docudrama
215,The Big Lebowski,1998,8.1,892K,1h 57m,Buddy Comedy
216,The Terminator,1984,8.1,967K,1h 47m,Artificial Intelligence
217,Maharaja,2024,8.4,69K,2h 21m,One-Person Army Action
218,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.3M,2h 23m,Sea Adventure
219,Det sjunde inseglet,1957,8.1,209K,1h 36m,Psychological Drama
220,Room,2015,8.1,469K,1h 58m,Psychological Drama
221,La haine,1995,8.1,213K,1h 38m,Gangster
222,Jai Bhim,2021,8.6,226K,2h 44m,Legal Drama
223,Hotel Rwanda,2004,8.1,384K,2h 1m,Docudrama
224,Platoon,1986,8.1,457K,2h,Drama
