,id,title,year,rating,votes,runtime,genres,decade
153,153,Prisoners,2013,8.2,875000,0 days 02:33:00,Psychological Thriller,2010-e
154,154,Yojimbo,1961,8.2,138000,0 days 01:50:00,One-Person Army Action,1960-e
155,155,Finding Nemo,2003,8.2,1200000,0 days 01:40:00,Animal Adventure,2000-e
156,156,Howl's Moving Castle,2004,8.2,485000,0 days 01:59:00,Adventure Epic,2000-e
157,157,The Great Escape,1963,8.2,269000,0 days 02:52:00,Epic,1960-e
158,158,Monty Python and the Holy Grail,1975,8.2,589000,0 days 01:31:00,Farce,1970-e
159,159,The Elephant Man,1980,8.2,273000,0 days 02:04:00,Docudrama,1980-e
160,160,Dial M for Murder,1954,8.2,198000,0 days 01:45:00,Crime,1950-e
161,161,Klaus,2019,8.2,215000,0 days 01:36:00,Hand-Drawn Animation,2010-e
162,162,Gejaagd door de wind,1939,8.2,347000,0 days 03:58:00,Costume Drama,1930-e
163,163,Chinatown,1974,8.1,366000,0 days 02:10:00,Conspiracy Thriller,1970-e
164,164,Rashomon,1950,8.2,190000,0 days 01:28:00,Period Drama,1950-e
165,165,El secreto de sus ojos,2009,8.2,233000,0 days 02:09:00,Dark Romance,2000-e
166,166,"Lock, Stock and Two Smoking Barrels",1998,8.1,636000,0 days 01:47:00,Dark Comedy,1990-e
167,167,V for Vendetta,2005,8.1,1200000,0 days 02:12:00,Dystopian Sci-Fi,2000-e
168,168,Binnenstebuiten,2015,8.1,870000,0 days 01:35:00,Coming-of-Age,2010-e
169,169,"Three Billboards Outside Ebbing, Missouri",2017,8.1,584000,0 days 01:55:00,Dark Comedy,2010-e
170,170,The Bridge on the River Kwai,1957,8.1,242000,0 days 02:41:00,Jungle Adventure,1950-e
171,171,Catch Me If You Can,2002,8.1,1200000,0 days 02:21:00,Caper,2000-e
172,172,Trainspotting,1996,8.1,751000,0 days 01:33:00,Dark Comedy,1990-e
173,173,Raging Bull,1980,8.1,396000,0 days 02:09:00,Boxing,1980-e
174,174,The Wild Robot,2024,8.2,175000,0 days 01:42:00,Artificial Intelligence,2020-e
175,175,Fargo,1996,8.1,758000,0 days 01:38:00,Cop Drama,1990-e
176,176,Warrior,2011,8.1,515000,0 days 02:20:00,Boxing,2010-e
177,177,Harry Potter and the Deathly Hallows - Part 2,2011,8.1,1000000,0 days 02:10:00,Dark Fantasy,2010-e
178,178,Gran Torino,2008,8.1,841000,0 days 01:56:00,Drama,2000-e
179,179,Million Dollar Baby,2004,8.1,747000,0 days 02:12:00,Boxing,2000-e
180,180,Ben Hur,1959,8.1,264000,0 days 03:32:00,Adventure Epic,1950-e
181,181,Mad Max: Fury Road,2015,8.1,1200000,0 days 02:00:00,Action Epic,2010-e
182,182,My Neighbor Totoro,1988,8.1,409000,0 days 01:26:00,Anime,1980-e
183,183,Barry Lyndon,1975,8.1,194000,0 days 03:05:00,Costume Drama,1970-e
184,184,Dead Poets Society,1989,8.1,593000,0 days 02:08:00,Coming-of-Age,1980-e
185,185,Spider-Man: No Way Home,2021,8.2,955000,0 days 02:28:00,Superhero,2020-e
186,186,Bacheha-ye aseman,1997,8.2,86000,0 days 01:29:00,Drama,1990-e
187,187,12 Years a Slave,2013,8.1,766000,0 days 02:14:00,Costume Drama,2010-e
188,188,Before Sunrise,1995,8.1,360000,0 days 01:41:00,Comedy,1990-e
189,189,Hacksaw Ridge,2016,8.1,639000,0 days 02:19:00,Docudrama,2010-e
190,190,The Grand Budapest Hotel,2014,8.1,929000,0 days 01:39:00,Quirky Comedy,2010-e
191,191,Blade Runner,1982,8.1,855000,0 days 01:57:00,Artificial Intelligence,1980-e
192,192,Gone Girl,2014,8.1,1100000,0 days 02:29:00,Erotic Thriller,2010-e
193,193,Salinui chueok,2003,8.1,243000,0 days 02:11:00,Dark Comedy,2000-e
194,194,Ratatouille,2007,8.1,888000,0 days 01:51:00,Animal Adventure,2000-e
195,195,"Monsters, Inc.",2001,8.1,1000000,0 days 01:32:00,Buddy Comedy,2000-e
196,196,In the Name of the Father,1993,8.1,196000,0 days 02:13:00,Docudrama,1990-e
197,197,How to Train Your Dragon,2010,8.1,846000,0 days 01:38:00,Computer Animation,2010-e
198,198,Relatos salvajes,2014,8.1,229000,0 days 02:02:00,Dark Comedy,2010-e
199,199,The Gold Rush,1925,8.1,124000,0 days 01:35:00,Farce,1920-e
200,200,Sherlock Jr.,1924,8.2,62000,0 days 00:45:00,Bumbling Detective,1920-e
201,201,De zomer van de witte haai,1975,8.1,696000,0 days 02:04:00,Monster Horror,1970-e
202,202,Mary and Max,2009,8.1,197000,0 days 01:32:00,Adult Animation,2000-e
203,203,Le Mans '66,2019,8.1,525000,0 days 02:32:00,Car Action,2010-e
204,204,The Deer Hunter,1978,8.1,376000,0 days 03:03:00,Epic,1970-e
205,205,The General,1926,8.1,103000,0 days 01:18:00,Farce,1920-e
206,206,Het loon van de Angst,1953,8.1,71000,0 days 02:36:00,Psychological Drama,1950-e
207,207,Mr. Smith gaat naar Washington,1939,8.1,126000,0 days 02:09:00,Political Drama,1930-e
208,208,On the Waterfront,1954,8.1,173000,0 days 01:48:00,Legal Drama,1950-e
209,209,Smultronstället,1957,8.1,121000,0 days 01:32:00,Psychological Drama,1950-e
210,210,Logan,2017,8.1,892000,0 days 02:17:00,Dystopian Sci-Fi,2010-e
211,211,Rocky,1976,8.1,661000,0 days 02:00:00,Boxing,1970-e
212,212,The Third Man,1949,8.1,190000,0 days 01:44:00,Film Noir,1940-e
213,213,Tokyo Story,1953,8.1,74000,0 days 02:17:00,Psychological Drama,1950-e
214,214,Spotlight,2015,8.1,520000,0 days 02:09:00,Docudrama,2010-e
215,215,The Big Lebowski,1998,8.1,892000,0 days 01:57:00,Buddy Comedy,1990-e
216,216,The Terminator,1984,8.1,967000,0 days 01:47:00,Artificial Intelligence,1980-e
217,217,Maharaja,2024,8.4,69000,0 days 02:21:00,One-Person Army Action,2020-e
